pid,create_date,content,tag,pvurl,kid_id
187,2022-01-14 2:38,안녕하세요 머리염색약제거방법도 각기다르지요 그러나 약품을바르고손질하시면 약품냄새와 시간이 소요되지요 울세인들은 시간이돈인데요 이렇게한번 해봤네요제옷 황변에 염색약 제거후 다림과 사진촬영이 미숙~~~ㅋ제옷에 황변은 6개월방치 앞집 미용실가서 염색약 떡칠하여 2일동안 자연 건조후 흰색얼룩빼기 가성소다20g과수35%240mlK99표백제200ml 스코어 에이스30ml 1Pcs라 물1540ml두번붓고 저녁에담근후 퇴근구연산세제 250g에 물2L 저녁에 앞통과 담근후퇴근 아침에확인하니 조금은 나갔어도 마니잔류제일위 레시피에담근통 깔금히 제거돼서 세탁기에서행금흰색 얼룩빼기통에서 완성된y셔츠입니다 제가 글솜씨가 부족하여 죄송합니다  저는 염색과 황변은 이 방법을 추구하고 지인분들게 권장하렵니다 끝까지 읽어주신회원님들 복 마니받으시고 대박기원합니다,#실전사례,"['https://coresos-phinf.pstatic.net/a/342i60/1_589Ud018svc1f8tv630o2oh7_ryd20r.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342i8j/i_i86Ud018svcm1c0q8qogrwk_ryd20r.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342ib3/i_i86Ud018svcryird5at8i2q_ryd20r.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342i02/i_j86Ud018svcyvzlggpsju0v_ryd20r.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342i1b/i_j86Ud018svc1fm13a33fascx_ryd20r.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/342ij6/i_j86Ud018svc1nuh90dyn6kq6_ryd20r.jpg?type=e1920_std']",77
190,2022-01-16 8:40,"손님께서 하시는 말로는 장롱에 보관중 어떠한 옷에 겹쳐서 생겨난 이염이라고 합니다
겉감은 폴리이고 안감나이론인데 거위털 몽클리어 코트입니다
겉감이 유광처리된 에나멜원단처럼 되있어 이염이 찍힌것처럼 되있는데 어떻게 처리해야할지요",#질문답변,"['https://coresos-phinf.pstatic.net/a/34304h/d_3fcUd018svchw4wu30nfltq_e4wc66.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/343054/d_3fcUd018svc15odwb0azq39z_e4wc66.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/34305i/d_4fcUd018svclrphwd56q08e_e4wc66.jpg?type=e1920_std']",11
191,2022-01-17 9:45,"흰색 얼룩 빼기 용액에 세탁물 담그고, 남은 용액 활용법에 대해 알려 드립니다.

1. 운동화나 일반 세탁물의 알카리 세제(보통 사용하시는 액체 알카리 세제의 2배)로 사용하시면 됩니다.

2. 담그고 남은 용액을 중성세제로 만들어 사용하기
원액(물1,540+가성소다+30+표촉200+과수 240) 담금액 1키로(1,000그램)에 구연산 25그램을 잘 섞어 줍니다.  약산성( pH=6-7) 액체세제가 되고, 색 빠짐 우려가 있는 세탁물에 중성세제 처럼 사용합니다. 단, 현재 사용 중인 중성세제의 2배로 사용합니다.

원액(물1,540+가성소다+30+표촉200+과수 240)에 수돗물 1키로(1,000그램 또는 미리)를  추가한  담금액 1.5키로(1,500그램)에 구연산 25그램을 잘 섞어 줍니다.  약산성( pH=6-7) 액체세제가 되고, 색 빠짐 우려가 있는 세탁물에 중성세제 처럼 사용합니다. 단, 현재 사용 중인 중성세제의 2배로 사용합니다.

원액(물1,540+가성소다+30+표촉200+과수 240)에 수돗물 2키로(2,000그램 또는 미리)를  추가한 담금액2키로(2,000그램)에 구연산 25그램을 잘 섞어 줍니다.  약산성( pH=6-7) 액체세제가 되고, 색 빠짐 우려가 있는 세탁물에 중성세제 처럼 사용합니다. 단, 현재 사용 중인 중성세제의 2배로 사용합니다.

원액(물1,540+가성소다+30+표촉200+과수 240)에 수돗물 3키로(3,000그램 또는 미리)를  추가한 담금액2.5키로(2,500그램)에 구연산 25그램을 잘 섞어 줍니다.  약산성( pH=6-7) 액체세제가 되고, 색 빠짐 우려가 있는 세탁물에 중성세제 처럼 사용합니다. 단, 현재 사용 중인 중성세제의 2배로 사용합니다.

원액(물1,540+가성소다+30+표촉200+과수 240)에 수돗물 4키로(4,000그램 또는 미리)를  추가한 담금액3키로3,000그램)에 구연산 25그램을 잘 섞어 줍니다.  약산성( pH=6-7) 액체세제가 되고, 색 빠짐 우려가 있는 세탁물에 중성세제 처럼 사용합니다. 단, 현재 사용 중인 중성세제의 2배로 사용합니다.",#질문답변,[],
192,2022-01-17 9:46,"유색 얼룩 빼기 용액에 세탁물 담그고, 남은 용액 활용법에 대해 알려 드립니다.

1. 운동화나 일반 세탁물의 알카리 세제(보통 사용하시는 액체 알카리 세제의 2배)로 사용하시면 됩니다.

2. 담그고 남은 용액을 중성세제로 만들어 사용하기
원액(물1,540+가성소다+20+표촉200+과수 200) 담금액 1키로(1,000그램)에 구연산 17그램을 잘 섞어 줍니다. 약산성( pH=6-7) 액체세제가 되고, 색 빠짐 우려가 있는 세탁물에 중성세제 처럼 사용합니다. 단, 현재 사용 중인 중성세제의 2배로 사용합니다.

원액(물1,540+가성소다+20+표촉200+과수 200) 에 수돗물 1키로(1,000그램 또는 미리)를 추가한 담금액 1.5키로(1,500그램)에 구연산 17그램을 잘 섞어 줍니다. 약산성( pH=6-7) 액체세제가 되고, 색 빠짐 우려가 있는 세탁물에 중성세제 처럼 사용합니다. 단, 현재 사용 중인 중성세제의 2배로 사용합니다.

원액(물1,540+가성소다+20+표촉200+과수 200) 에 수돗물 2키로(2,000그램 또는 미리)를 추가한 담금액2키로(2,000그램)에 구연산 17그램을 잘 섞어 줍니다. 약산성( pH=6-7) 액체세제가 되고, 색 빠짐 우려가 있는 세탁물에 중성세제 처럼 사용합니다. 단, 현재 사용 중인 중성세제의 2배로 사용합니다.

원액(물1,540+가성소다+20+표촉200+과수 200) 에 수돗물 3키로(3,000그램 또는 미리)를 추가한 담금액2.5키로(2,500그램)에 구연산 17그램을 잘 섞어 줍니다. 약산성( pH=6-7) 액체세제가 되고, 색 빠짐 우려가 있는 세탁물에 중성세제 처럼 사용합니다. 단, 현재 사용 중인 중성세제의 2배로 사용합니다.

원액(물1,540+가성소다+20+표촉200+과수 200) 에 수돗물 4키로(4,000그램 또는 미리)를 추가한 담금액3키로3,000그램)에 구연산 17그램을 잘 섞어 줍니다. 약산성( pH=6-7) 액체세제가 되고, 색 빠짐 우려가 있는 세탁물에 중성세제 처럼 사용합니다. 단, 현재 사용 중인 중성세제의 2배로 사용합니다.",#질문답변,[],
203,2022-01-17 9:52,안녕하세요 세탁을하다보면 가끔식문제가발생되지요 오늘은 운동화끈및 스트링끝에 장식품이사고가발생되지요 몆년전타까페에 올려봤는데 좋아들하시더군요 혹 울회원님모르시는분계실까봐 올려봅니다끝을바르게자르고 돼지본드바른다음5분정도방치후 돌돌비비면 둥그런모양을만들어 튜부에넣고 라이터로지저주면 수축이됩니다 이름은 열튜브 전기공사할때사용되는재료입니다 큰철물점에서판매하면 색상은 칼라별로있습니다물론인터넷에서판매되는 장식품들도많지만 고객님한태 말씀드리고 남품하면 아직까지는 크래임은없었습니다 일반 열튜브도있고 본드열튜브도있는데 본드열튜브는 열을가하고 식으면 딱딱해저 더효과적입니다 참고하실분만 사용해보셔요 행복한 시간되세요,#실전사례,"['https://coresos-phinf.pstatic.net/a/3432j9/c_9h9Ud018svc1xuxhoihr1sv5_ryd20r.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3432jg/c_9h9Ud018svc1r4nb7opt8or6_ryd20r.jpg?type=e1920_std']",77
213,2022-01-19 1:28,"호텔세탁카페 활동 중지요청을 받아서 조용히 지내는 중이라 글은 오랜만에 쓰내요
밴드로 글작성은 처음인대 카페보다는 어려운거같습니다 보기도 힘들고 ㅎㅎㅎ물자동으로 웨이트하기전 사진입니다
세탁방법은 이렇습니다

예비세탁 구연산 200g 5분 → 본세 스코어에이스10ml 4분 → 행굼 수축방지제(폴리우레탄) 45ml → 탈수 약하게 4분 (모든 세탁과 행굼은 물 고수위 회전은 제일 약하게 설정하였습니다)위 사진들은 세탁끝나자마자 나온 세탁물들입니다 자연건조 중입니다.위 사진은 자연건조후 수분이 80~90%정도 있을때 건조를 짧게 10분정도 치고난후 사진입니다. 건조치기전 항균스프레이를 뿌려도 좋고 세탁과정에서 폴리우레탄과 같이 항균제를 넣어도 괜찮습니다.위사진은 세탁후 줄어들었나 확인하였는대 줄어듬이 없이 아주 잘나왔습니다.완성 사진입니다",#실전사례,"['https://coresos-phinf.pstatic.net/a/34357b/2_31dUd018svcy087hcihrdrt_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/343546/2_41dUd018svcjv11zg6qu0dx_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/34350g/2_51dUd018svckf6eejwby00n_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/34351c/3_01dUd018svc1jf4mdn5cinnh_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/343522/3_11dUd018svc1t4fb9n1747ac_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435if/9_a1dUd018svc1x2kzpwvxwut3_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/343517/9_c1dUd018svc195hmfoje4vj9_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/343571/9_d1dUd018svczndsruzqurrp_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435d7/9_e1dUd018svcbppflibdt2xe_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/34353b/6_81fUd018svc1hc329qtwsmr_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435a6/6_91fUd018svcldltbziwf20r_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/343591/6_a1fUd018svcdymbi3nthpg5_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435df/6_b1fUd018svcb2z7i31g7g2m_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435fa/6_c1fUd018svc16hx0dtb41j07_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435gc/6_d1fUd018svcimvijuayuori_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/343595/a_41iUd018svc1kzn8aoazzicz_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435c2/a_51iUd018svc1h6882mhg7m7e_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/343566/a_61iUd018svcgsgim193l60m_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/34355a/a_71iUd018svc8y2q050tvx6u_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/34356i/a_81iUd018svc1b816tzb7und5_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/34353g/a_91iUd018svcyapdd0rnvxay_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/343573/a_a1iUd018svctyfi0k088fm6_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435b7/a_b1iUd018svc191tf2vaod4vr_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435a6/a_c1iUd018svc42ebc2matscs_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435be/a_d1iUd018svc1dwctdprlmgpy_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435i2/a_e1iUd018svc3c4a5bq5cmjq_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435d1/a_f1iUd018svc5cvefdj7dgvs_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435ic/1_h20Ud018svc8rwalksm9139_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435f6/1_i20Ud018svctdkoxpn5yjsi_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/34352d/2_020Ud018svc1xisuyicelave_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/343528/h_b1jUd018svclyqkolwuevdg_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435hg/h_f1jUd018svc5c7fvew0vpca_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435jd/h_b1jUd018svcnjnamf4g56ba_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435jh/h_c1jUd018svc1fd0ao9335itq_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/34351f/h_e1jUd018svc5w5zjesxbsvs_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435gi/h_e1jUd018svc1abktdhqujjdy_t9yzsa.jpg?type=e1920_std']",1
214,2022-01-19 2:20,"니트 3장을 다른 방법으로 웨이트 해봤습니다.실험이기 때문에 첨가물의 양을 위해 무게를 체크했습니다.세탁하기전 치수를 미리 재놓고 세탁을 합니다.물 6L에 구연산 200g 넣고 20분 담굼하였습니다 대야의 물은 니트를 담굼했던 사진인대 구연산 담굼만으로도 때국물이 나오는것을 볼수있습니다.구연산 물에 20분 담굼후 손으로 살짝 눌러짜고 드럼세탁기에넣고 울코스를 진행했습니다 스코어에이스 10g 넣고 행굼2번 물온도 30도 입니다 마지막 행굼때 폴리우레탄과 k99 항균제를 20ml 첨가합니다.
자연건조후 물기가 80~90%정도 남았을때 건조를 짧게 10분정도 하면 섬유가 부드러워지고살아나기 시작합니다.완성후 전혀 줄어듬없이 만족한 품질이 나왔습니다.",#실전사례,"['https://coresos-phinf.pstatic.net/a/3435a8/5_32hUd018svcg8yxr7wqef4c_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/34352f/5_42hUd018svczxo0ggtjja2l_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/343507/5_52hUd018svc1ojwz2moh2h0v_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435hj/5_52hUd018svct11s96e4khmd_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435ea/5_62hUd018svc1rr855pjf2kvm_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435fe/5_72hUd018svc8h3qo28x1tr5_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435ei/j_d2hUd018svczv2x3nos4z86_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/34350e/j_f2hUd018svc10uvpttyy73bi_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/34357b/j_g2hUd018svc1rmqoif9y8m3f_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435fd/j_h2hUd018svc5trwpicnmrmy_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435g4/j_i2hUd018svc1cyewbkvl5w81_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/343555/0_02iUd018svcn6shm4mrtb43_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/34355d/7_i2iUd018svc17mvcdu86mu6h_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/34352e/8_i2iUd018svc9tcb6p42xkh_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435hc/1_g2jUd018svcpuqt5ptrmztv_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/343579/i_j2jUd018svc1w8hdz3aex3xg_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/343595/j_02jUd018svc67a00z75vkfc_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/34358j/j_12jUd018svc118e40z54jfls_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435ge/j_22jUd018svcz9kssfbwbg8_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/34354g/j_42jUd018svcvg9ckf3iml1d_t9yzsa.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/343530/j_52jUd018svc1cz2av8f00kyd_t9yzsa.jpg?type=e1920_std']",1
216,2022-01-19 5:09,안녕하세요 방진복은 왜 흰색톤으로만 제조하는이유가있나요가끔씩 방진복입고되는데 더러워도 넘더럽게입고되네요 몇일전 작업해봤던과정 올려봅니다상의6벌Pcs바지2Pcs입고 흰색얼룩빼기레시피 가성소다30촉매200 과수240 물4L레시피에 오후7시40분담금 다음날아침8시본세20분 40도온도에서 담금후물과스코어에이스200cc넣고세탁하였습니다의류에 메직으로 이름도적여저있었는데 이름까지 지워지고 깔끔히 세탁됐네요,#실전사례,"['https://coresos-phinf.pstatic.net/a/3435d6/8_463Ud018svcubebswx1vlx0_ryd20r.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435ch/8_463Ud018svc1f3a7vm4jmm55_ryd20r.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/34353f/8_563Ud018svc1gpa4artfv160_ryd20r.jpg?type=e1920_std', 'https://coresos-phinf.pstatic.net/a/3435eg/8_563Ud018svcmpeiz6ovypzb_ryd20r.jpg?type=e1920_std']",77
219,2022-01-20 2:45,"가죽 스웨이드 세탁이 어렵습니다. 물 자국이 남을 우려가 커서 물 세탁이 쉽지 않고, 이를 어찌할 것인가에 대한 고민이 깊었습니다. 물 한 방울 사용 안하고.....그리고 제가 엄청 싫어하는 드라이 용매도 사용 안 하고......액체 종류는 하나도 사용 안 하고....사진 오각형 점선 부분만 세탁했습니다(스웨이드 가죽 옷을 못 구해서 스웨이드로만 된 운동화로 테스트했습니다)..액체의 사용이 없으니깐 건조 자체가 필요 없겠죠.....빠른 시일 내에 밴드에 열정적인 분들에게만 .....ㅎㅎㅎㅎ.....공개해볼까합니다...너무 눈팅들만 하셔서 걱정입니다....이 공간에서 서로의 노하우를 상호 공유하면서...모두가 건강한 세탁을 하기 위해서는 K99 회원님들의 수고스러움이 필요합니다!",#실전사례,['https://coresos-phinf.pstatic.net/a/3436ca/g_fa6Ud018svc664zjie9msx8_etd9ns.png?type=e1920_std'],
224,2022-01-20 5:25,"왼쪽에있는 교복셔츠가 가정에서 세탁후 이염발생 고객이 이염을 지우려고 고온에서 과탄산 표백을 한 제품입니다 섬유는 폴리에스텔75% 레이온25%입니다 
이런제품경우 염료가 고착이 되어서 얼룩빼기 과수 12시간 당굼으로도 색이 돌아오지 안습니다 방법이 따로 있을가요?",#질문답변,['https://coresos-phinf.pstatic.net/a/3436jb/8_hd7Ud018svcfr2go3y9vsar_t9yzsa.jpg?type=e1920_std'],1
